variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre72,0,,,,,
pre71,0,,,,,
pre70,17.79701085655296,8.511515101433679,2.090933358451685,.0365340382748379,1.114747803874167,34.47927390923175
pre69,-1.319123260318479,.9419275295933528,-1.400450903996795,.1613783356562314,-3.165267294368237,.5270207737312782
pre68,-.4978930762434056,.7458528212558682,-.6675486933267243,.5044217175005279,-1.959737743672497,.9639515911856863
pre67,-.754972606070933,.8042548301468464,-.938723123283058,.3478729181704135,-2.33128310755113,.8213378954092643
pre66,-.4536552608029942,.681853773272138,-.6653263186122071,.5058418005758922,-1.790064099139124,.8827535775331359
pre65,-.449341907159551,.7181144196884744,-.6257246684372112,.5314955500377123,-1.856820306527842,.9581364922087399
pre64,.1900676904852958,.6266657333093842,.3032999578284897,.7616612783236141,-1.03817457714648,1.418309958117071
pre63,.2901536119363723,.728432876482801,.3983258050314305,.6903900412211248,-1.137548591124831,1.717855814997576
pre62,-.0315326149024041,.5960680429970432,-.0529010324792073,.9578107617505951,-1.199804511511881,1.136739281707073
pre61,.4222379743871044,.5970469058905593,.7072107236822396,.4794355354088355,-.7479524582394667,1.592428407013676
pre60,-.1955936346924352,.5931030635334311,-.3297801793961064,.7415660648876291,-1.358054278338332,.9668670089534612
pre59,-.0400239295553756,.5703176715238009,-.0701783086055142,.9440517389760982,-1.15782602548877,1.077778166378019
pre58,.2585498761181101,.4391191353972328,.5887920959860302,.5560007486780789,-.6021078141828337,1.119207566419054
pre57,.3895969032554697,.4666011459123771,.8349677377959805,.4037358735519834,-.5249245378779079,1.304118344388847
pre56,-.0394612011016717,.4898506175702229,-.0805576224388749,.935793769015395,-.9995507693440118,.9206283671406683
pre55,-.0375670802131683,.4976820893262538,-.0754840911876604,.9398295548153339,-1.013006051043272,.937871890616935
pre54,.7323638684311903,.4357214515034055,1.680807465191936,.092800318162884,-.1216344838070003,1.586362220669381
pre53,.3698358277298311,.4353491619471345,.849515423610121,.3955945515511782,-.4834328503862478,1.22310450584591
pre52,.2306426485307237,.5027904208253098,.4587252242239088,.6464314978830665,-.7548084680586209,1.216093765120068
pre51,-.0555726689478777,.5439622708285725,-.1021627269538905,.9186275124932674,-1.121719128720503,1.010573790824747
pre50,.0827581184732968,.5537330695583806,.1494548962721316,.881194697128609,-1.002538754909942,1.168054991856535
pre49,.0543356171176041,.4873731078480089,.1114866951882563,.9112304155283607,-.9008981212978486,1.009569355533057
pre48,.0653910492240063,.5294243892679119,.1235134809607639,.9017004997664887,-.9722616862782149,1.103043784726228
pre47,-.1067611710821634,.496961521017839,-.2148278419292972,.8299015449318846,-1.080787853979373,.8672655118150461
pre46,-.2882244698088545,.5189627460540485,-.5553856649641606,.5786308955578636,-1.305372761392795,.7289238217750864
pre45,-.1430140327860708,.4486697785627882,-.3187512054950164,.7499151819588978,-1.022390639720697,.7363625741485551
pre44,.0558186623195904,.3994315190752522,.1397452620885291,.888861263285784,-.7270527293580273,.8386900539972082
pre43,-.105191788855183,.4243980265709752,-.2478611639764329,.8042418290610226,-.9369966360441672,.7266130583338012
pre42,.0704199044757621,.4438599717576797,.1586534244052245,.8739419352212918,-.7995296543482555,.9403694632997797
pre41,-.2983502922027497,.4375610027871172,-.6818484515355761,.4953347835458662,-1.155954098704729,.5592535142992301
pre40,-.0345427328208394,.436152252059106,-.0791987950486572,.9368745029955391,-.8893854386327227,.8202999729910438
pre39,-.6209353510907367,.4433609605453291,-1.400518778935775,.1613580239652396,-1.489906865910666,.2480361637291921
pre38,.0062898396309601,.3892343485344146,.0161595184357271,.9871071308517969,-.7565954650424033,.7691751443043234
pre37,-.0267782336156941,.4139321787504041,-.0646923215695222,.9484189765172149,-.8380703960086819,.7845139287772938
pre36,.103861993708425,.4185413822189608,.2481522690965105,.8040165951610579,-.716464041480351,.924188028897201
pre35,-.2023022348400076,.4288417366439442,-.4717410120180856,.6371116597986712,-1.042816593729749,.6382121240497336
pre34,-.0161927979892102,.4388650643166597,-.0368969856701248,.9705671431992595,-.8763525181227175,.843966922144297
pre33,-.0765920451974159,.4124865820972122,-.1856837252935543,.8526927917000756,-.8850508902139759,.731866799819144
pre32,.0730206489142653,.3809566742616021,.1916770432118015,.8479951894047753,-.6736407123086318,.8196820101371624
pre31,.2782677147163466,.384257688586483,.7241695429438838,.4689616544806933,-.4748635156957677,1.031398945128461
pre30,-.1614961432328622,.4399190643220227,-.3671042160488102,.7135412825727088,-1.023721665416586,.7007293789508615
pre29,.1116122232703316,.3929529103083247,.2840346014558251,.776383864028374,-.6585613285541829,.8817857750948461
pre28,-.0309974704613142,.4525915633199481,-.0684888384439489,.9453965048449544,-.9180606342750918,.8560656933524634
pre27,-.0253496290592233,.4301267397070431,-.0589352549355308,.9530036774647457,-.8683825476726621,.8176832895542154
pre26,.1846007542727584,.3801911475481206,.4855472187168524,.6272882265228605,-.5605602021625116,.9297617107080283
pre25,.0260310311374031,.3883613599641698,.06702786070119,.9465595234376634,-.7351432473793653,.7872053096541716
pre24,-.1995872108325699,.415345639153764,-.4805328189775004,.6308485725380817,-1.013649704709717,.6144752830445769
pre23,-.4013857844913646,.4220732642306416,-.9509860455696327,.3416114596778549,-1.22863418122068,.4258626122379507
pre22,-.0239763956998553,.4206964855441518,-.0569921464136857,.9545514512281683,-.8485263557889682,.8005735643892575
pre21,.2578646253311575,.4245750274364398,.6073476032920015,.5436202531252012,-.5742871371793696,1.090016387841685
pre20,.3687354826139549,.4314414066838245,.8546594668512595,.3927396960445584,-.4768741359256396,1.214345101153549
pre19,.0967935946144493,.4436091583211126,.2181956634546844,.8272766637496956,-.7726643789070582,.9662515681359567
pre18,-.0072491669826919,.4239812918221291,-.0170978463496288,.9863585570261638,-.8382372290728314,.8237388951074477
pre17,-.1326250333815815,.4183013328702044,-.3170562055625435,.7512009546552474,-.9524805804922828,.6872305137291198
pre16,.0328705483477184,.3845543537912195,.0854769892049235,.931882188463396,-.7208421351811458,.7865832318765826
pre15,.0215103119578093,.4000723576955477,.0537660539251215,.9571215554252357,-.7626171003354901,.8056377242511087
pre14,-.016624768588117,.4208540526225826,-.0395024557433118,.9684897956465944,-.8414835544761035,.8082340172998694
pre13,-.1640117937880706,.3986277473949066,-.4114409868854158,.6807492049745797,-.9453078219204178,.6172842343442766
pre12,.1907440111406356,.3348754179477933,.5695969334194975,.5689511088464002,-.4655997473448372,.8470877696261083
pre11,.1753341083738809,.2358941368998654,.7432745496693222,.4573154767003053,-.2870099041140163,.637678120861778
pre10,.4319994158834793,.2677959258805144,1.613166497821291,.1067083398851023,-.0928709540488866,.9568697858158453
pre9,.0905700968542241,.3644125918338558,.2485372319283553,.803718766644532,-.6236654586530282,.8048056523614765
pre8,.2222283883932806,.261976087126891,.8482773784068386,.3962835128128336,-.2912353071861529,.7356920839727141
pre7,.5410612444769701,.271016758928213,1.99641249720755,.0458890416234861,.0098781577708986,1.072244331183042
pre6,-.0050956298512358,.3025557986524555,-.0168419507209284,.9865627028001172,-.5980940985238007,.5879028388213291
pre5,.1639480782398346,.3116126622745842,.5261277800558959,.5987994282068855,-.4468015169449935,.7746976734246627
pre4,.1423728521982804,.2472503177339762,.5758247491979505,.5647336432357339,-.3422288657263979,.6269745701229587
pre3,-.1147281876804569,.2530033825153314,-.4534650348933759,.6502139154424904,-.6106057053773173,.3811493300164035
pre2,-.1677030360599665,.3893693902626434,-.4307042111010443,.6666834564747226,-.9308530176570684,.5954469455371354
post0,.1390859421091962,.2827368413991252,.491927197817336,.6227708105242082,-.4150680841357024,.6932399683540948
post1,-.0020354367775151,.3010191197709787,-.0067618189139072,.9946048901983904,-.5920220701865822,.587951196631552
post2,-.0027581884090995,.3356992981555572,-.0082162471719598,.9934444569910345,-.660716722429365,.655200345611166
post3,-.0201384251969481,.3376473686215124,-.0596433648488532,.9524396796697814,-.6819151071698318,.6416382567759357
post4,-.0175114366730912,.3564536130882875,-.0491268317394048,.9608182205830216,-.71614768048531,.6811248071391276
post5,.2239161394184515,.3010481629652806,.7437884264527977,.4570044830106677,-.3661274176054434,.8139596964423463
post6,-.3876555972136106,.3999808656803351,-.9691853547900092,.332452716788136,-1.17160368845222,.3962924940249991
post7,.1381434561431877,.3750766426532265,.3683072749238264,.7126441286069807,-.5969932548993361,.8732801671857114
post8,.1828077756793945,.3390768990736264,.5391336778731719,.5897946190541867,-.4817707344944359,.8473862858532248
post9,.1689063828272667,.3250717348810782,.519597260244906,.6033443080600036,-.4682225099315994,.8060352755861327
post10,.2700949211293083,.3844855766916636,.7024838836696067,.4823774489205468,-.4834829617614652,1.023672804020082
post11,.3365708128701896,.4137516194284494,.813461016382543,.415953788434175,-.474367459754694,1.147509085495073
post12,-.3498735492108372,.4410927112740438,-.7931973035788079,.4276628782742973,-1.214399377151088,.5146522787294132
post13,-.1516555176045791,.4159716134536962,-.3645814106049826,.7154238932831387,-.9669448985648404,.6636338633556823
post14,.0739771257332877,.4415963739743326,.1675220406986122,.8669593066030634,-.7915358629598849,.9394901144264604
post15,-.1618321077217393,.4816498236442806,-.3359953638045124,.7368743625987748,-1.105848415224598,.7821841997811192
post16,-.0063536492642431,.4475430985733951,-.0141967316320958,.9886730275047448,-.8835220039975566,.8708147054690705
post17,-.504376836642568,.5152743285863493,-.9788510870050942,.3276535631853452,-1.51429596282987,.5055422895447339
post18,-.3559094525158878,.5981197974712722,-.5950471026383009,.5518119859875927,-1.528202713999972,.8163838089681968
post19,-1.261216263816813,1.315645761119396,-.9586290634522526,.3377456458040233,-3.839834572023617,1.317402044389991
post20,-1.803139062891461,1.412984200776109,-1.27612117807195,.2019126862820178,-4.572537207136747,.9662590813538252
post21,-1.69728046871586,1.245602978575705,-1.362617541792193,.1730030774371888,-4.138617445760057,.7440565083283373
post22,-.6605771324433418,1.141567391852371,-.5786580250610104,.5628199438770463,-2.898008106399312,1.576853841512629
post23,-.7489051920210991,1.376000085772705,-.5442624602748805,.5862608756752921,-3.445815802859626,1.948005418817428
post24,-.8643830510134047,1.280274690595725,-.6751543691074599,.4995776940539363,-3.373675334899186,1.644909232872376
post25,-1.332055100028808,1.359196395990049,-.9800313655618021,.3270706362566799,-3.996031084085946,1.33192088402833
post26,-1.128629782831347,1.428573248934231,-.7900398412705451,.429504501090285,-3.928581900019813,1.671322334357119
post27,-2.605019528378581,1.208317111553382,-2.155907173266488,.0310909142417872,-4.973277548926677,-.2367615078304848
post28,-1.448759081097557,1.31655945804115,-1.100412953056523,.2711522373123583,-4.029168202363784,1.13165004016867
post29,-.4285812983907203,1.371124060434993,-.3125766010223405,.7546023576106948,-3.115935075179627,2.258772478398186
post30,-.7874081501472338,1.333751116414881,-.5903711273088076,.5549418632061905,-3.401512302660488,1.82669600236602
post31,-1.138848622972235,1.277903598260531,-.8911850819752161,.3728298862247886,-3.643493651277018,1.365796405332548
